type,name,description,quality,domain_specificity,domain,origin_instance_id,parent_content_hash,scope
role_component,synthesise-from-multiple-source-types,"Synthesise information from multiple source types, weighting by interpretive priority",100,15,,00000000-0000-7000-8000-000000000001,,task
role_component,provide-context-on-first-mention,"Provide brief context for every named person, concept, or technical term on its first appearance in the output",100,25,"writing,research",00000000-0000-7000-8000-000000000001,,task
role_component,maintain-consistent-terminology,Use the same term for the same concept throughout the output; audit for semantic drift,100,0,,00000000-0000-7000-8000-000000000001,,task
desired_outcome,claim-verification-report,"Return a verification report classifying each claim as: Verified (2+ high-reputation sources), Questionable (1 high-reputation or multiple lower-quality sources), or Not Verifiable (no credible sources found), with source links for each",100,75,"research,analysis",00000000-0000-7000-8000-000000000001,,task
desired_outcome,verification-summary,"Return a summary with: total claim count, count per verification status, percentage per status, and brief analysis of patterns",100,50,"research,analysis",00000000-0000-7000-8000-000000000001,,task
desired_outcome,structured-essay-outline,"Return a numbered outline with: one explicit arguable thesis, section summaries (one sentence each) explaining connection to thesis, and an explicit list of excluded material with reasons",100,60,"writing,research",00000000-0000-7000-8000-000000000001,,task
desired_outcome,content-sourcing-summary,"Return a sourcing summary tracking the proportion of output derived from: direct quotation, paraphrase, elaboration, and generated content",100,60,"writing,research",00000000-0000-7000-8000-000000000001,,task
desired_outcome,document-content-ratio,"Return written output targeting this content ratio: description (25%), analysis (50%), recommendations (25%)",100,25,"strategy,management,writing",00000000-0000-7000-8000-000000000001,,task
trade_off_config,prefer-source-quality-over-quantity,When source quality and source quantity conflict: prefer one authoritative primary source over multiple lower-reputation sources,100,60,"research,analysis",00000000-0000-7000-8000-000000000001,,task
trade_off_config,report-source-conflicts-without-resolving,When authoritative sources conflict on the same claim: present both perspectives with sources; mark as uncertain; do not select a winner,100,60,"research,analysis",00000000-0000-7000-8000-000000000001,,task
trade_off_config,classify-uncertain-claims-conservatively,When uncertain whether a statement qualifies as a claim: classify it as a claim rather than omitting it,100,40,"research,analysis",00000000-0000-7000-8000-000000000001,,task
trade_off_config,prefer-omission-over-fabrication,When content integrity and writing quality conflict: prefer omission or explicit acknowledgement over fabricating details not present in the source material,100,0,,00000000-0000-7000-8000-000000000001,,task
trade_off_config,structure-before-prose,When structure and prose quality conflict: complete and validate the structure before drafting prose,100,55,writing,00000000-0000-7000-8000-000000000001,,task
trade_off_config,state-weaknesses-directly,"When evaluating completed work: state weaknesses directly without qualifying praise; describe problems, not improvements",100,0,,00000000-0000-7000-8000-000000000001,,task
trade_off_config,cut-generic-before-vivid,"When compressing output: cut generic or transitional content before cutting vivid specifics, the key surprise or turn, or any moment of emotional engagement",100,25,"writing,strategy",00000000-0000-7000-8000-000000000001,,task
trade_off_config,explain-before-label,When introducing a concept: describe the mechanism and explain why it matters before naming it,100,0,,00000000-0000-7000-8000-000000000001,,task
trade_off_config,use-concrete-before-abstract,When introducing an unfamiliar concept: lead with specific concrete examples before stating the definition or framework,100,0,,00000000-0000-7000-8000-000000000001,,task
trade_off_config,plant-before-reveal,"When including a surprising conclusion or turn: introduce a signal of it early so the reveal feels like a payoff, not a pivot",100,35,"writing,strategy",00000000-0000-7000-8000-000000000001,,task
role_component,reproduce-failure-before-investigating,Reproduce the failure consistently before investigating its cause,100,15,,00000000-0000-7000-8000-000000000001,,task
role_component,compare-working-and-broken-examples,Compare working and broken examples to identify the specific differences causing failure,100,15,,00000000-0000-7000-8000-000000000001,,task
role_component,form-single-root-cause-hypothesis,"Form a single explicit hypothesis about root cause before attempting a fix; when adding process gates after a failure, trace each gap to its root cause before designing interventions",100,0,,00000000-0000-7000-8000-000000000001,,task
role_component,test-one-variable-at-a-time,Make the smallest possible change to test each hypothesis; change one variable at a time,100,15,,00000000-0000-7000-8000-000000000001,,task
role_component,read-error-messages-completely,"Read error messages and stack traces completely, noting line numbers, file paths, and error codes",100,65,software,00000000-0000-7000-8000-000000000001,,task
role_component,trace-errors-to-origin,Trace errors backward from where they manifest to their point of origin,100,15,,00000000-0000-7000-8000-000000000001,,task
role_component,add-observation-points-at-boundaries,Add observation points at each component boundary to identify where in a system failure occurs,100,25,"software,analysis",00000000-0000-7000-8000-000000000001,,task
role_component,write-failing-test-first,Write a failing test before writing any implementation code,100,65,software,00000000-0000-7000-8000-000000000001,,task
role_component,verify-test-fails-correctly,"Verify that each test fails for the expected reason before writing implementation; for regression tests, confirm the test fails when the fix is reverted and passes when restored",100,55,software,00000000-0000-7000-8000-000000000001,,task
role_component,write-minimal-passing-code,Write the minimal code needed to make a failing test pass; do not add features beyond what the test requires,100,55,software,00000000-0000-7000-8000-000000000001,,task
role_component,run-verification-before-claiming-complete,"Identify the specific verification command or check that would prove a completion claim, run it, and read the full output before claiming a task is complete",100,55,software,00000000-0000-7000-8000-000000000001,,task
role_component,propose-multiple-approaches,Propose 2-3 distinct approaches with trade-offs and a clear recommendation before settling on one,100,15,,00000000-0000-7000-8000-000000000001,,task
role_component,ask-one-question-at-a-time,Ask one clarifying question at a time; wait for the answer before asking the next,100,0,,00000000-0000-7000-8000-000000000001,,task
role_component,decompose-into-small-tasks,Decompose work into tasks small enough to complete and verify independently,100,15,,00000000-0000-7000-8000-000000000001,,task
role_component,verify-changes-against-current-state,Verify proposed changes against the current state of the system or codebase before implementing,100,55,software,00000000-0000-7000-8000-000000000001,,task
role_component,implement-one-change-at-a-time,Implement changes one at a time and verify each before proceeding to the next,100,15,,00000000-0000-7000-8000-000000000001,,task
role_component,identify-independent-tasks,Identify which tasks can proceed without shared state or sequential dependencies before deciding how to sequence work,100,0,,00000000-0000-7000-8000-000000000001,,task
role_component,scope-subagent-tasks-narrowly,"Assign each subagent a single clear problem domain, all context needed, and explicit constraints on scope",100,15,,00000000-0000-7000-8000-000000000001,,task
role_component,verify-outputs-before-integrating,"Verify that outputs from parallel work streams do not conflict before integrating them; after parallel tasks complete, list each task's key recommendation and check for contradictions before synthesising",100,15,,00000000-0000-7000-8000-000000000001,,task
desired_outcome,implementation-plan-with-test-steps,"Return an implementation plan with: goal (one sentence), architecture description (2-3 sentences), technology stack, file map (files created/modified with responsibilities), and numbered tasks each specifying exact file paths, complete code, runnable verification commands with expected output, and a commit step",100,100,software,00000000-0000-7000-8000-000000000001,,task
trade_off_config,confirm-root-cause-before-fixing,When a fix or solution is proposed: confirm root cause first; do not address symptoms without understanding their source,100,15,,00000000-0000-7000-8000-000000000001,,task
trade_off_config,stop-after-repeated-failures,"When hitting a blocker, repeated failure, or genuine uncertainty: stop immediately and ask for clarification rather than guessing. After 3 or more fix attempts, evaluate whether the approach itself is sound before attempting another.",100,25,"software,analysis",00000000-0000-7000-8000-000000000001,,task
trade_off_config,fix-at-source-not-symptom,When a failure has a known root cause: fix at the source; do not address symptoms while the cause remains,100,15,,00000000-0000-7000-8000-000000000001,,task
trade_off_config,test-first-always,When implementing a feature or fix: write the failing test first; delete any implementation written before the test was in place,100,65,software,00000000-0000-7000-8000-000000000001,,task
trade_off_config,simplify-when-hard-to-test,When a test is hard to write: simplify the interface being tested; difficulty testing indicates difficulty using,100,55,software,00000000-0000-7000-8000-000000000001,,task
trade_off_config,evidence-before-completion-claim,"When about to claim a task is complete or a problem is resolved: verify with direct evidence first. Return the verification command, output excerpt, and the specific result that supports the claim; state what the evidence shows, not what you expect it to show",100,0,,00000000-0000-7000-8000-000000000001,,task
trade_off_config,state-limitations-explicitly,When verification evidence is unavailable: state the limitation explicitly; do not substitute confidence for evidence,100,0,,00000000-0000-7000-8000-000000000001,,task
trade_off_config,clarify-before-implementing,"When asked to implement: clarify purpose, constraints, and success criteria first; present design and get approval before any implementation, regardless of perceived simplicity",100,15,,00000000-0000-7000-8000-000000000001,,task
trade_off_config,omit-unverified-features,"When designing or reviewing: if a feature has no verified use case in the current scope, omit it",100,25,"software,analysis",00000000-0000-7000-8000-000000000001,,task
trade_off_config,dispatch-parallel-when-independent,When multiple tasks are independent and have no shared state: work on them in parallel rather than sequentially,100,0,,00000000-0000-7000-8000-000000000001,,task
role_component,distinguish-evidence-from-conclusion,Distinguish what the evidence supports from what has been concluded from it,100,0,,00000000-0000-7000-8000-000000000001,,task
role_component,calibrate-tone-to-relationship,Calibrate tone to the relationship's level of formality and shared context,100,0,,00000000-0000-7000-8000-000000000001,,task
role_component,structure-persuasive-content-as-problem-approach-outcome,"Structure persuasive communications around: the problem being addressed, the approach to addressing it, and the concrete outcome delivered",100,25,"writing,strategy",00000000-0000-7000-8000-000000000001,,task
role_component,make-counterarguments-explicit,"Make counterarguments explicitly visible: label, state, and refute each one directly rather than weaving them into narrative",100,25,"writing,research",00000000-0000-7000-8000-000000000001,,task
role_component,state-rejected-alternative,State the rejected alternative and its key characteristics before presenting any design or editorial choice,100,25,"writing,strategy",00000000-0000-7000-8000-000000000001,,task
role_component,seek-disconfirming-evidence,"Actively seek evidence that challenges current assumptions, not only evidence that confirms them",100,25,"research,analysis",00000000-0000-7000-8000-000000000001,,task
role_component,verify-currency-of-sources,Check publication dates of all sources; flag claims about ongoing situations when sources may be out of date,100,40,"research,analysis",00000000-0000-7000-8000-000000000001,,task
role_component,trace-data-to-collection-source,Trace statistics and data claims to their original collection source before using them,100,60,"research,analysis",00000000-0000-7000-8000-000000000001,,task
role_component,back-claims-with-verifiable-examples,Back every substantive claim with a specific verifiable example from an authoritative source,100,40,"writing,research",00000000-0000-7000-8000-000000000001,,task
role_component,vary-sentence-length-for-rhythm,Vary sentence length to create rhythm: alternate short emphatic statements (2-8 words) with longer analytical sentences (25-45 words),100,50,writing,00000000-0000-7000-8000-000000000001,,task
role_component,adapt-content-to-platform,Adapt content structure and tone to the conventions and constraints of the destination platform or medium,100,25,"writing,strategy",00000000-0000-7000-8000-000000000001,,task
role_component,present-multiple-angles-on-same-content,"When producing multiple pieces on the same content: vary the entry point — personal story, principle, outcome, problem angle, or solution angle",100,25,"writing,strategy",00000000-0000-7000-8000-000000000001,,task
trade_off_config,prefer-narrow-claim-over-overreach,When evidence supports a weaker form of a claim: state the weaker form; do not extend conclusions beyond what the evidence supports,100,15,,00000000-0000-7000-8000-000000000001,,task
trade_off_config,calibrate-certainty-to-claim-type,When making claims: use definitive language for descriptive and analytical claims; use conditional language for prescriptive and design claims,100,15,,00000000-0000-7000-8000-000000000001,,task
trade_off_config,include-context-to-avoid-misleading,When facts are technically accurate but potentially misleading without context: include the context even at cost of brevity,100,25,"research,writing",00000000-0000-7000-8000-000000000001,,task
trade_off_config,provide-context-not-hedges,When tempted to hedge a claim: provide specific conditions or caveats instead; vague hedges obscure rather than calibrate precision,100,40,writing,00000000-0000-7000-8000-000000000001,,task
role_component,generate-strongest-objection,Generate the strongest possible objection to the current position before accepting or endorsing it,100,0,,00000000-0000-7000-8000-000000000001,,task
role_component,identify-load-bearing-assumption,Identify the assumption doing the most work in the current argument and test it explicitly,100,0,,00000000-0000-7000-8000-000000000001,,task
role_component,adopt-distinct-evaluator-role,Adopt a specific named evaluator role with defined concerns and evaluate the work exclusively through that role's lens,100,0,,00000000-0000-7000-8000-000000000001,,task
role_component,ask-the-avoided-question,Identify and ask the question that is present in the discussion but not being asked,100,0,,00000000-0000-7000-8000-000000000001,,task
role_component,identify-what-would-falsify-conclusion,Identify what evidence or conditions would falsify the current conclusion,100,0,,00000000-0000-7000-8000-000000000001,,task
role_component,surface-disagreements-before-consensus,Surface genuine disagreements and minority positions before allowing convergence on a consensus,100,15,,00000000-0000-7000-8000-000000000001,,task
role_component,generate-unanswerable-questions,"Generate the questions the work cannot currently answer well, prioritising those that reveal critical gaps or failure modes",100,0,,00000000-0000-7000-8000-000000000001,,task
desired_outcome,conclusion-regardless-of-welcome,"Return the most defensible conclusion the evidence supports; if the conclusion is likely unwelcome, note this explicitly and state the full reasoning — do not moderate the finding to make it more palatable",100,0,,00000000-0000-7000-8000-000000000001,,task
desired_outcome,findings-include-uncomfortable-positions,Return findings that include minority and uncomfortable positions with full supporting reasoning; do not omit unflattering conclusions in the name of balance or diplomacy,100,0,,00000000-0000-7000-8000-000000000001,,task
desired_outcome,critique-names-problems-and-severity,Return a critique that names each specific problem and its severity; do not dilute critical findings by balancing them with praise,100,15,,00000000-0000-7000-8000-000000000001,,task
trade_off_config,unpopular-conclusion-over-comfort,"When a realistic conclusion is unwelcome: state it clearly and attribute the discomfort to social context, not epistemic uncertainty; do not soften findings to preserve comfort",100,0,,00000000-0000-7000-8000-000000000001,,task
trade_off_config,scrutinise-strong-consensus,When agreement is unusually strong or fast: increase scrutiny rather than accepting it; treat strong consensus as a signal to probe harder,100,0,,00000000-0000-7000-8000-000000000001,,task
trade_off_config,maintain-evaluation-under-social-pressure,When evaluation findings conflict with the producer's investment in their work: maintain the findings; do not moderate conclusions to preserve the relationship,100,0,,00000000-0000-7000-8000-000000000001,,task
trade_off_config,state-critique-directly,When a critique requires courage to state: state it with full reasoning intact; do not substitute diplomatic vagueness for a clear and direct assessment,100,0,,00000000-0000-7000-8000-000000000001,,task
role_component,present-questions-dual-format,Present each clarifying question in both a technical form and a plain-language form accessible to a non-specialist,100,0,,00000000-0000-7000-8000-000000000001,,task
role_component,verify-before-advance,Verify each step of a sequential process against its completion criteria before advancing to the next step,100,0,,00000000-0000-7000-8000-000000000001,,task
role_component,assign-distinct-review-personas,Assign reviewers with distinct perspectives and incentives to surface different categories of gap in a document,100,30,"software,management,writing",00000000-0000-7000-8000-000000000001,,task
role_component,identify-scope-boundaries,Identify explicit scope boundaries and enumerate deferred decisions alongside the constraints that preserve future optionality,100,30,"software,strategy,management",00000000-0000-7000-8000-000000000001,,task
role_component,consolidate-specification-constants,Surface all literal values that appear in more than one location in a specification and consolidate them into a single named registry,100,50,"software,writing",00000000-0000-7000-8000-000000000001,,task
role_component,map-integration-failure-modes,Identify all points where independently-built components share a contract and name the silent failure mode for each,100,80,software,00000000-0000-7000-8000-000000000001,,task
role_component,identify-partial-failure-states,Identify the partial failure state for each multi-step process and specify the recovery path from each failure point,100,75,software,00000000-0000-7000-8000-000000000001,,task
role_component,read-source-before-specifying,Read existing source files before writing specification sections that reference them,100,85,software,00000000-0000-7000-8000-000000000001,,task
desired_outcome,question-list-with-status,"Return a numbered list where each item contains: question number, technical form, plain-language form, and answer status (answered | open)",100,0,,00000000-0000-7000-8000-000000000001,,task
desired_outcome,constants-registry-table,"Return a constants registry as a table with: constant name, literal value, sections where it appears, source (defined here | inherited), and [VERIFY] annotation for values requiring source-code confirmation",100,50,"software,writing",00000000-0000-7000-8000-000000000001,,task
trade_off_config,dual-format-for-complex-questions,When posing complex or technical questions: present each in both a technical form and a plain-language form before requesting a response,100,0,,00000000-0000-7000-8000-000000000001,,task
trade_off_config,verify-before-next-step,"When building along a sequential critical path: complete and verify each step before starting the next, even when parallel tracks are available",100,40,"software,management",00000000-0000-7000-8000-000000000001,,task
trade_off_config,verify-assumption-before-dependency,When a behavioral assumption about an external dependency is unverified: write a test proving the behavior before implementing against it,100,85,software,00000000-0000-7000-8000-000000000001,,task
trade_off_config,silent-exception-prohibition,"When handling exceptions: log, re-raise, or return an explicit documented error. Never silently swallow an exception",100,85,software,00000000-0000-7000-8000-000000000001,,task
trade_off_config,contract-test-before-integration,"When two components share a coordination contract: write tests validating the contract from both sides before integrating, not after",100,85,software,00000000-0000-7000-8000-000000000001,,task
role_component,verify-task-state-before-dispatch,Verify completion state of all tasks before dispatching subagents when resuming multi-session work,100,40,"software, management",00000000-0000-7000-8000-000000000001,,task
role_component,write-session-handoff-context,"Write a timestamped handoff file at session end capturing: current branch/state, remaining tasks with plan line references, dependency graph, and parallel dispatch groups",100,50,"software, management",00000000-0000-7000-8000-000000000001,,task
role_component,check-import-time-side-effects,"Check for module-level statements that execute during import and will fail when runtime preconditions (env vars, files, network) are absent",100,100,software,00000000-0000-7000-8000-000000000001,,task
trade_off_config,spec-compliance-over-passing-tests,"When all tests pass but spec compliance review identifies structural violations: prioritise spec compliance. Fix the structural issue before proceeding, even if no test fails.",100,60,software,00000000-0000-7000-8000-000000000001,,task
trade_off_config,verification-cost-over-wasted-dispatch,When resuming multi-session work and task state is uncertain: spend time verifying state before dispatching. A wasted verification check is cheaper than a wasted subagent on already-completed work.,100,50,"software, management",00000000-0000-7000-8000-000000000001,,task
desired_outcome,session-handoff-file-schema,"Return a handoff file containing: header (timestamp, branch, completion status), task list (numbered, with plan file line ranges), dependency analysis (which tasks block which), and dispatch strategy (parallel waves). Format as markdown with YAML-style frontmatter metadata block.",100,50,"software, management",00000000-0000-7000-8000-000000000001,,task
role_component,tag-reportage-vs-synthesis,Tag each source statement as reportage (session-specific event) or synthesis (cross-session interpretation) before writing,100,25,"writing,analysis",00000000-0000-7000-8000-000000000001,,task
role_component,organise-by-logical-dependency,Organise conceptual material by logical dependency between ideas rather than by the temporal sequence in which ideas were introduced,100,0,,00000000-0000-7000-8000-000000000001,,task
role_component,report-group-outputs-at-consistent-detail,Report all group or participant outputs at the same level of detail; do not elevate one group's output into a named finding,100,25,"writing,management",00000000-0000-7000-8000-000000000001,,task
role_component,use-hierarchised-lists-for-structured-content,Use numbered lists with tab-indented sub-items to make logical relationships between ideas visible; no blank lines between items,100,15,writing,00000000-0000-7000-8000-000000000001,,task
trade_off_config,separate-synthesis-from-chronology,When synthesis and chronological narrative could be blended into a single account: separate them; tag synthesis explicitly inline or place in a clearly-labelled section,100,25,"writing,analysis",00000000-0000-7000-8000-000000000001,,task
trade_off_config,attribute-insights-to-actual-scope,"When a cross-session insight appears during description of a specific session: attribute it to the cross-session scope, not to the specific session where it is mentioned",100,25,"writing,analysis",00000000-0000-7000-8000-000000000001,,task
trade_off_config,logical-structure-over-temporal-sequence,When material has both temporal and logical structure: organise by logical dependency; note temporal sequence only where it adds information not already captured by the logical structure,100,0,,00000000-0000-7000-8000-000000000001,,task
trade_off_config,report-without-editorial-admiration,When tempted to comment on how an insight was reached or the quality of a group's process: report what happened and what was concluded; do not add evaluative framing about the process itself,100,25,"writing,management",00000000-0000-7000-8000-000000000001,,task
role_component,mark-provenance-of-post-event-reflections,Mark sections containing post-event reflection or facilitator commentary as distinct from the record of what happened during the event,100,25,"writing,management",00000000-0000-7000-8000-000000000001,,task
role_component,simulate-actor-journey-step-by-step,"Walk through each actor's step-by-step experience of the system: who does what, what the system does, what the human sees, and which specification section covers it (or mark as GAP)",100,50,"software,management",00000000-0000-7000-8000-000000000001,,task
role_component,audit-internal-cross-references,"Exhaustively verify numbering sequences, classification enums, schema field names against API examples, and cross-references between sections for internal consistency",100,60,"software,writing",00000000-0000-7000-8000-000000000001,,task
role_component,detect-amendment-artifacts,"After iterative editing rounds, detect duplication (same thing specified in two places), contradictory remnants (old text not updated), orphaned references, and scattered specifications (related info fragmented across non-adjacent sections)",100,45,"software,writing,management",00000000-0000-7000-8000-000000000001,,task
role_component,classify-issues-by-resolvability,"Categorise review findings into (A) issues resolvable without owner input, with exact edit instructions, and (B) issues requiring owner decision, framed as questions with 2-3 concrete options",100,15,,00000000-0000-7000-8000-000000000001,,task
desired_outcome,actor-journey-walkthrough-with-gap-annotations,"Return a step-by-step walkthrough for each actor showing: step number, actor, action taken, system response, what the human sees (exact content), and specification reference or GAP annotation for each step",100,55,"software,management",00000000-0000-7000-8000-000000000001,,task
desired_outcome,review-synthesis-with-resolvability-split,"Return a deduplicated synthesis of multiple review reports split into: (A) agent-resolvable fixes with exact edit locations and replacement text, and (B) owner-decision items each framed as a question with 2-3 options and trade-offs stated",100,30,"software,management",00000000-0000-7000-8000-000000000001,,task
trade_off_config,walkthrough-before-review,When a specification is ready for review: simulate the user experience step by step rather than reading the spec statically. Complete the walkthrough and fill gaps before dispatching review agents. Walkthroughs find user-facing gaps that internal-consistency reviews miss.,100,55,"software,management",00000000-0000-7000-8000-000000000001,,task
trade_off_config,coherence-pass-after-iterative-editing,"When a document has been through 3 or more editing rounds: run a dedicated coherence pass for amendment artifacts before declaring it complete. Iterative assembly creates a damage pattern (duplication, contradiction, fragmentation) that content review does not target.",100,40,"software,writing,management",00000000-0000-7000-8000-000000000001,,task
desired_outcome,feasibility-evaluation-with-ranked-issues,"Return a feasibility evaluation with: one-line verdict (feasible | feasible with changes | not feasible), then a severity-ranked issue list where each entry contains: issue ID, problem statement, severity (high | medium | low), affected component, and proposed fix. Group by evaluation perspective if multiple perspectives were used.",100,55,"software,analysis",00000000-0000-7000-8000-000000000001,,task
desired_outcome,design-review-compliance-assessment,"Return a design review with: for each requirement or interface, compliance status (met | partially met | not met | not addressed), evidence (quote or reference from the design), and if not met, the specific gap and a recommended change. End with a summary count of statuses.",100,60,"software,management",00000000-0000-7000-8000-000000000001,,task
desired_outcome,debugging-investigation-report,"Return a debugging report with: observed symptom, reproduction steps, root cause (confirmed or hypothesised with confidence level), evidence trail (what was checked and what it showed, in order), fix applied or recommended, and verification result (test output or manual confirmation)",100,80,software,00000000-0000-7000-8000-000000000001,,task
desired_outcome,code-quality-assessment,"Return a code quality assessment with: for each file or module reviewed, a list of issues where each contains: location (file:line), category (correctness | performance | security | maintainability | style), severity (high | medium | low), description, and suggested fix. End with an overall assessment (approve | approve with changes | request changes).",100,85,software,00000000-0000-7000-8000-000000000001,,task
desired_outcome,forward-compatibility-assessment,"Return a forward-compatibility assessment with: for each future integration path or planned feature, whether the current design blocks it (blocks | constrains | compatible), the specific assumption or decision that creates the risk, and a mitigation if needed. End with a summary verdict.",100,55,"software,strategy",00000000-0000-7000-8000-000000000001,,task
desired_outcome,research-findings-with-confidence,"Return research findings with: for each question investigated, the finding (one sentence), confidence level (high | medium | low), sources consulted (with links or references), key evidence (the strongest supporting and strongest opposing point), and open questions that remain",100,40,"research,analysis",00000000-0000-7000-8000-000000000001,,task
role_component,assess-implementation-practicality,"Assess a proposed design for implementation practicality by reviewing from the perspective of someone who must execute against it: argument parsing, shell escaping, file I/O conventions, error message quality, developer ergonomics, and ambiguities that would force guessing during implementation",100,55,"software,analysis",00000000-0000-7000-8000-000000000001,,task
role_component,check-spec-interface-completeness,"Check whether every public interface in a specification has: complete parameter/flag table, typed response schema, enumerated error cases, and acceptance criteria",100,55,"software,management",00000000-0000-7000-8000-000000000001,,task
role_component,verify-spec-against-codebase,"Verify specification claims against the actual codebase: check that assumed database columns exist, function signatures are compatible, and referenced data is stored where the spec says it is",100,80,software,00000000-0000-7000-8000-000000000001,,task
role_component,identify-hidden-scope-in-build-plan,"Identify tasks implied but not listed in a build plan: test breakage surface, rollback concerns, integration seams between parallel work streams, and documentation that must ship with the code",100,55,"software,management",00000000-0000-7000-8000-000000000001,,task
desired_outcome,spec-completeness-checklist,"Return a completeness checklist where each public interface is checked for: flag/parameter table (present | missing), response schema (present | missing), error cases (present | missing), acceptance criteria (present | missing). For each missing item, state what is needed and where it should go.",100,55,"software,management",00000000-0000-7000-8000-000000000001,,task
desired_outcome,delivery-risk-assessment,"Return a delivery risk assessment with: hidden scope items (unlisted tasks), test breakage surface (file count and names), rollback plan (reversible | irreversible per change), and integration seam gaps between parallel build steps. End with a verdict: ready to ship or what must be resolved first.",100,55,"software,management",00000000-0000-7000-8000-000000000001,,task
trade_off_config,verify-against-code-not-just-docs,"When reviewing a specification for buildability: verify claims against the actual codebase (database schema, function signatures, stored data), not just against other documents. Document-to-document consistency does not guarantee buildability.",100,65,software,00000000-0000-7000-8000-000000000001,,task
trade_off_config,sequence-reviews-by-dependency,"When multiple review passes are needed: sequence by dependency — design evaluation before completeness check, completeness before consistency, consistency before buildability, buildability before delivery assessment. Do not run a later-stage review before earlier-stage issues are resolved.",100,40,"software,management",00000000-0000-7000-8000-000000000001,,task
role_component,verify-fix-categorisation,"Verify each proposed fix categorisation (agent-resolvable vs needs-decision) by checking whether the fix is derivable from existing spec or code, or requires a subjective choice",100,15,,00000000-0000-7000-8000-000000000001,,task
role_component,ask-purpose-and-failure-before-fixing,Ask what the thing is for and what breaks if the fix is wrong before proposing a resolution to any ambiguity or gap,100,0,,00000000-0000-7000-8000-000000000001,,task
role_component,present-decisions-as-structured-options,"Present each subjective decision as 2-3 options with: what each option does, what it costs, and what it risks",100,0,,00000000-0000-7000-8000-000000000001,,task
desired_outcome,coherence-report-by-artifact-type,"Return a coherence report with findings grouped by artifact type: duplicated specifications (all locations listed), contradictory remnants (old vs new text), orphaned cross-references (target vs actual), scattered features (all sections covering each feature). End with a count by type.",100,25,management,00000000-0000-7000-8000-000000000001,,task
trade_off_config,specification-thoroughness-over-development-speed,When specification thoroughness conflicts with development speed: invest in thoroughness. Each review round that finds a blocker prevents a more expensive implementation-phase discovery. Stop reviewing only when a round finds zero blockers.,100,25,management,00000000-0000-7000-8000-000000000001,,task
trade_off_config,ask-unnecessarily-over-apply-silently,When categorising fixes as agent-resolvable vs needs-decision: prefer asking unnecessarily over applying subjective fixes silently. An unnecessary question costs seconds; an unchallenged arbitrary choice propagates through implementation.,100,0,,00000000-0000-7000-8000-000000000001,,task
trade_off_config,consolidate-then-verify-over-tolerate-duplication,"When the same specification appears in multiple locations: consolidate to a single authoritative location with cross-references, then verify all cross-references in a separate pass. Duplication maintenance risk exceeds consolidation error risk.",100,15,,00000000-0000-7000-8000-000000000001,,task
trade_off_config,expand-scope-for-critical-path-bugs,When review discovers a bug or missing feature on the critical path for an in-scope feature: expand scope to include the fix. Defer only if the issue is orthogonal to the release. Shipping a feature that silently breaks is worse than a larger release.,100,35,"software,management",00000000-0000-7000-8000-000000000001,,task
trade_off_config,skip-review-only-with-documented-evidence,"When a prior review pass already covered a concern: skip the redundant pass, but only when the prior pass is documented and its findings were resolved. Cite the specific review and its outcomes; do not skip on memory alone.",100,15,,00000000-0000-7000-8000-000000000001,,task
